group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,nearly_tight_dp_mean,nearly_tight_rdp_mean,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,5-9,2.0,0.18866557158953268,500,500,0.8883035515485543,0.05615474011677294,0.10515980715888312,0.08835548950526571,0.10515980715888312,0.15773971073832468,-4.855216197967529,0.04185050263591492,-4.92577638721466,0.038333955814153074,-4.92577638721466,0.038333955814153074,-4.855216197967529,0.04185050263591492
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,10-14,2.0,0.18866557158953268,500,500,1.1578204772326168,0.10743855231277502,0.1283713091202658,0.14751181422419893,0.14751181422419893,0.2212677213362984,-4.839894603729248,0.03691815327515179,-4.923010910987854,0.03958371772151948,-4.923010910987854,0.03958371772151948,-4.839894603729248,0.03691815327515179
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,15-19,2.0,0.18866557158953268,500,500,0.6191733613936146,0.024657985924089548,0.12646983832212566,0.12745267306596203,0.12745267306596203,0.19117900959894304,-4.787007985115051,0.03691820244169983,-4.866136505126953,0.03706137756568359,-4.866136505126953,0.03706137756568359,-4.787007985115051,0.03691820244169983
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,20-24,2.0,0.18866557158953268,500,500,0.6242351488303065,0.031988863670848154,0.12513594642388082,0.1140836537012011,0.12513594642388082,0.18770391963582123,-4.757434462547303,0.03603054334497638,-4.83204242515564,0.0343998922555297,-4.83204242515564,0.0343998922555297,-4.757434462547303,0.03603054334497638
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,5-9,4.38,0.7508354277015021,500,500,2.729932312802505,0.3444704597747604,0.28069086821553196,0.24726393613743222,0.28069086821553196,0.4210363023232979,-4.844202714920044,0.018215061977847256,-4.922647501945495,0.017095110533423188,-4.922647501945495,0.017095110533423188,-4.844202714920044,0.018215061977847256
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,10-14,4.38,0.7508354277015021,500,500,3.040887806479015,0.41197867561057083,0.36675467426210706,0.43938278563711125,0.43938278563711125,0.6590741784556668,-4.826875133514404,0.013116447466639876,-4.912118441581726,0.014357201097649935,-4.912118441581726,0.014357201097649935,-4.826875133514404,0.013116447466639876
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,15-19,4.38,0.7508354277015021,500,500,2.8976603939294123,0.3673439101410286,0.337874410367944,0.3347184708250271,0.337874410367944,0.506811615551916,-4.774558184623718,0.015235866150942794,-4.857113512992859,0.015164543184410122,-4.857113512992859,0.015164543184410122,-4.774558184623718,0.015235866150942794
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,20-24,4.38,0.7508354277015021,500,500,2.664812116798957,0.3205383533667899,0.5163049283770926,0.46813375138942137,0.5163049283770926,0.774457392565639,-4.742833381652832,0.010056802725084222,-4.82292884349823,0.009576163477764816,-4.82292884349823,0.009576163477764816,-4.742833381652832,0.010056802725084222
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,5-9,6.57,1.4988609198702292,500,500,4.651499803056309,0.8478310976307315,0.3712673204517523,0.33951978071224503,0.3712673204517523,0.5569009806776285,-4.841612936973572,0.01412539751317706,-4.92236097240448,0.013507839436895902,-4.92236097240448,0.013507839436895902,-4.841612936973572,0.01412539751317706
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,10-14,6.57,1.4988609198702292,500,500,5.20632967108871,1.0263814400953017,0.529360815537485,0.6314669367917312,0.6314669367917312,0.9472004051875967,-4.823919877052307,0.009172844781871043,-4.909541622161865,0.01001828591375192,-4.909541622161865,0.01001828591375192,-4.823919877052307,0.009172844781871043
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,15-19,6.57,1.4988609198702292,500,500,5.0005467256510885,0.9522078498790421,0.4570299430982036,0.4523425170633124,0.4570299430982036,0.6855449146473054,-4.77152974319458,0.01159614616263099,-4.855265827178955,0.011536526211756245,-4.855265827178955,0.011536526211756245,-4.77152974319458,0.01159614616263099
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,20-24,6.57,1.4988609198702292,500,500,4.557461841153151,0.8110112510374805,0.9451429377434711,0.8655616595601107,0.9451429377434711,1.4177144066152068,-4.739177404403686,0.005672667568561705,-4.820921466827393,0.005428648500158211,-4.820921466827393,0.005428648500158211,-4.739177404403686,0.005672667568561705
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,5-9,10.0,3.0013370066103775,500,500,7.519272023050649,1.8810449318596334,0.4410013983459805,0.4205280530874696,0.4410013983459805,0.6615020975189707,-4.839922874450684,0.012014017018419487,-4.922457968711853,0.011731823235493839,-4.922457968711853,0.011731823235493839,-4.839922874450684,0.012014017018419487
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,10-14,10.0,3.0013370066103775,500,500,8.077990848358615,2.1296827019382265,0.6887986986199868,0.8096720943882164,0.8096720943882164,1.2145081415823247,-4.822036045074463,0.007169941764343254,-4.908007126808166,0.007773294102335184,-4.908007126808166,0.007773294102335184,-4.822036045074463,0.007169941764343254
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,15-19,10.0,3.0013370066103775,500,500,7.841597450736461,2.016829123098152,0.5495325545139629,0.5456282537692903,0.5495325545139629,0.8242988317709443,-4.769808753967285,0.009756574881003639,-4.854132643699646,0.009721854014208855,-4.854132643699646,0.009721854014208855,-4.769808753967285,0.009756574881003639
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,20-24,10.0,3.0013370066103775,500,500,7.288320949245021,1.7851021981352346,1.5655096747331487,1.4701953286222775,1.5655096747331487,2.348264512099723,-4.736870755195618,0.0034510493911187757,-4.819743140220642,0.003344360392125246,-4.819743140220642,0.003344360392125246,-4.736870755195618,0.0034510493911187757
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,5-9,17.85,7.495752416995524,500,500,13.623690681015372,4.933293054722481,0.4952409647151939,0.49039585429012317,0.4952409647151939,0.7428614470727909,-4.838801274299621,0.010717877314381688,-4.922616885185242,0.010665320132117424,-4.922616885185242,0.010665320132117424,-4.838801274299621,0.010717877314381688
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,10-14,17.85,7.495752416995524,500,500,14.949215597868989,5.697418970621085,0.8481850635906699,0.960404799980533,0.960404799980533,1.4406071999707994,-4.820594032287597,0.006002977143945588,-4.906786296844483,0.006387588456312093,-4.906786296844483,0.006387588456312093,-4.820594032287597,0.006002977143945588
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,15-19,17.85,7.495752416995524,500,500,14.35359508957976,5.361506851424062,0.6209216528722472,0.6256696533869147,0.6256696533869147,0.9385044800803721,-4.768675362586975,0.008616632397029323,-4.853377444267273,0.008649514028004934,-4.853377444267273,0.008649514028004934,-4.768675362586975,0.008616632397029323
exp_data/max_grad_norm/0.1,cifar10_half_cnn,1.5,20-24,17.85,7.495752416995524,500,500,13.476146706744103,4.847657818313903,2.583149502261409,2.4975608527690185,2.583149502261409,3.8747242533921136,-4.734913314819336,0.0020989611172023653,-4.818864470481873,0.0020638972797445048,-4.818864470481873,0.0020638972797445048,-4.734913314819336,0.0020989611172023653
