dataset,model,epsilon,run_name,used_seeds,missing_seeds,n_seeds,losses_in_n,losses_in_shapiro_w,losses_in_shapiro_p,losses_in_anderson_a2,losses_in_anderson_crit_5pct,losses_in_anderson_decision_5pct,losses_in_gaussian_mean,losses_in_gaussian_std,losses_out_n,losses_out_shapiro_w,losses_out_shapiro_p,losses_out_anderson_a2,losses_out_anderson_crit_5pct,losses_out_anderson_decision_5pct,losses_out_gaussian_mean,losses_out_gaussian_std
cifar10_half,cnn,2.0,cifar10_half_cnn_eps2.0,"5,6,7,9,16",,5,500,0.9979380680966985,0.8104103826005804,0.20335406623684094,0.781,fail_to_reject_normality,-5.625525251626969,1.24857287441173,500,0.996032023276701,0.24378564042786227,0.49953807067674916,0.781,fail_to_reject_normality,-6.027059506893158,1.2415703431706282
cifar10_half,cnn,4.38,cifar10_half_cnn_eps4.38,"5,6,7,9,16",,5,500,0.9969466476173602,0.47435324685781693,0.5007243819518976,0.781,fail_to_reject_normality,-5.3464304404258725,0.8538148490144005,500,0.9970484944043805,0.5068688310264817,0.43845552845453994,0.781,fail_to_reject_normality,-5.937224041461945,0.8629916262703929
cifar10_half,cnn,6.57,cifar10_half_cnn_eps6.57,"5,6,7,9,16",,5,500,0.9975068035718259,0.6638036479855269,0.3749625168533157,0.781,fail_to_reject_normality,-5.278091641426086,0.7105331657157306,500,0.9979346787353944,0.8093385605015946,0.24058330925197424,0.781,fail_to_reject_normality,-5.930085159301758,0.7266572286889622
cifar10_half,cnn,10.0,cifar10_half_cnn_eps10.0,"5,6,7,9,16",,5,500,0.9970545729255235,0.5088454970974903,0.360379001449985,0.781,fail_to_reject_normality,-5.233978459358215,0.612163051794635,500,0.9973239429696639,0.5997597181331981,0.2952150680971499,0.781,fail_to_reject_normality,-5.924566233634949,0.6353991589050995
mnist_half,cnn,2.0,mnist_half_cnn_eps2.0,"5,6,7,9,16",,5,500,0.9961410136393922,0.2652556782274822,0.6142147406292224,0.781,fail_to_reject_normality,-3.143965003013611,0.35022170423090354,500,0.9972963823876534,0.5902137175714841,0.2936561444871586,0.781,fail_to_reject_normality,-3.2749641942977905,0.3497438291610664
mnist_half,cnn,4.38,mnist_half_cnn_eps4.38,"5,6,7,9,16",,5,500,0.9961884250199912,0.27508374736121677,0.657299846052922,0.781,fail_to_reject_normality,-3.0914187655448915,0.17576825212208758,500,0.9977548241122063,0.7500811765341764,0.24681330073616436,0.781,fail_to_reject_normality,-3.2289025983810427,0.1743508267089783
mnist_half,cnn,6.57,mnist_half_cnn_eps6.57,"5,6,7,9,16",,5,500,0.9961694337953473,0.27111091677883414,0.6695178062178684,0.781,fail_to_reject_normality,-3.083268843650818,0.12468063256989062,500,0.997810880026211,0.7689899545196415,0.24095043798160987,0.781,fail_to_reject_normality,-3.2226325731277465,0.12336069140017208
mnist_half,cnn,10.0,mnist_half_cnn_eps10.0,"5,6,7,9,16",,5,500,0.9961990661709005,0.2773309944861984,0.6602553232408468,0.781,fail_to_reject_normality,-3.0793352942466736,0.08818944742400911,500,0.997894910172612,0.7966216181981929,0.236994161605935,0.781,fail_to_reject_normality,-3.220104736804962,0.08710725188920863
