dataset,model,epsilon,run_name,used_seeds,missing_seeds,n_seeds,losses_in_n,losses_in_shapiro_w,losses_in_shapiro_p,losses_in_anderson_a2,losses_in_anderson_crit_5pct,losses_in_anderson_decision_5pct,losses_in_gaussian_mean,losses_in_gaussian_std,losses_out_n,losses_out_shapiro_w,losses_out_shapiro_p,losses_out_anderson_a2,losses_out_anderson_crit_5pct,losses_out_anderson_decision_5pct,losses_out_gaussian_mean,losses_out_gaussian_std
cifar10_half,cnn,2.0,cifar10_half_cnn_eps2.0,"5,7,9,14,21",,5,500,0.9962749320332149,0.29379793268838383,0.32394149989261223,0.781,fail_to_reject_normality,-5.674541380643845,1.3212365441378016,500,0.9960139100191384,0.24036618478617283,0.4782929725909071,0.781,fail_to_reject_normality,-6.143867737770081,1.3053245887900626
cifar10_half,cnn,4.38,cifar10_half_cnn_eps4.38,"5,7,9,14,21",,5,500,0.9969371195838942,0.4713722717469989,0.41427261548255956,0.781,fail_to_reject_normality,-5.41462490272522,0.8876537253206791,500,0.9965761650826568,0.36707062354327397,0.3397149305247922,0.781,fail_to_reject_normality,-6.062860903739929,0.858548222724186
cifar10_half,cnn,6.57,cifar10_half_cnn_eps6.57,"5,7,9,14,21",,5,500,0.9972753253806125,0.582949598453069,0.3581761498946321,0.781,fail_to_reject_normality,-5.349843564510345,0.7178965246752668,500,0.9980499135003954,0.8445823789066383,0.21760859470282412,0.781,fail_to_reject_normality,-6.050419709682465,0.6955111781364073
cifar10_half,cnn,10.0,cifar10_half_cnn_eps10.0,"5,7,9,14,21",,5,500,0.9970810866244677,0.5175122129745096,0.3430083511505586,0.781,fail_to_reject_normality,-5.307809965610504,0.5994398492007159,500,0.9991168448639183,0.9982364434646697,0.13889739371467158,0.781,fail_to_reject_normality,-6.03996225643158,0.586536695568989
cifar10_half,cnn,17.85,cifar10_half_cnn_eps17.85,"5,7,9,14,21",,5,500,0.9948935959023593,0.09671139385269047,0.4798272624537958,0.781,fail_to_reject_normality,-5.274781561374664,0.5072505148662702,500,0.9960046696943239,0.23863782879102674,0.44654839578527117,0.781,fail_to_reject_normality,-6.02937570476532,0.5061263611138953
mnist_half,cnn,2.0,mnist_half_cnn_eps2.0,"5,7,9,14,21",,5,500,0.9978773644696823,0.7909327058902511,0.2080556689589912,0.781,fail_to_reject_normality,-3.1223203439712526,0.3458197567270187,500,0.9963417877247437,0.30896423744704427,0.3456160217854176,0.781,fail_to_reject_normality,-3.2785218858718874,0.3504201634618107
mnist_half,cnn,4.38,mnist_half_cnn_eps4.38,"5,7,9,14,21",,5,500,0.997861660526237,0.785802998238578,0.2330791673468866,0.781,fail_to_reject_normality,-3.080943347930908,0.17408380299411744,500,0.9967523338672112,0.41580392987873205,0.39222997625370226,0.781,fail_to_reject_normality,-3.2305489764213564,0.17440628364127625
mnist_half,cnn,6.57,mnist_half_cnn_eps6.57,"5,7,9,14,21",,5,500,0.9977689898745548,0.7548903698470282,0.25500431041166394,0.781,fail_to_reject_normality,-3.075832557678223,0.12354306884787222,500,0.9971062896304106,0.5258160733640584,0.37021342098364585,0.781,fail_to_reject_normality,-3.223624831199646,0.1233804806775838
mnist_half,cnn,10.0,mnist_half_cnn_eps10.0,"5,7,9,14,21",,5,500,0.9976708526446262,0.7212234964919995,0.2676860885665633,0.781,fail_to_reject_normality,-3.074095179080963,0.08740098995986986,500,0.9972631042931341,0.5787462590464932,0.36898630313908143,0.781,fail_to_reject_normality,-3.220730446815491,0.08709542863155484
mnist_half,cnn,17.85,mnist_half_cnn_eps17.85,"5,7,9,14,21",,5,500,0.9975519645987807,0.6796814206954888,0.29192144300822065,0.781,fail_to_reject_normality,-3.0738724751472475,0.05537741008220529,500,0.9973500175419435,0.6088266860174992,0.3642447377036433,0.781,fail_to_reject_normality,-3.219446588039398,0.05511091246970709
