group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,nearly_tight_dp_mean,nearly_tight_rdp_mean,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,15-19,6.57,1.4988609198702292,500,500,4.741028307824339,0.871786443508139,1.1054267652699823,1.1852738313233597,1.1852738313233597,1.7779107469850395,-4.967858849525451,0.299010251427959,-5.6490193452835085,0.3096191724557508,-5.6490193452835085,0.3096191724557508,-4.967858849525451,0.299010251427959
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,20-24,6.57,1.4988609198702292,500,500,4.1820896047931075,0.6965962094997232,0.940842521555699,0.8348700255822733,0.940842521555699,1.4112637823335485,-4.945417300224304,0.41603607169889767,-5.635203928470611,0.3919151456519191,-5.635203928470611,0.3919151456519191,-4.945417300224304,0.41603607169889767
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,5-9,10.0,3.0013370066103775,500,500,7.210605836896926,1.760709219641695,0.882895090669499,0.9514414470767442,0.9514414470767442,1.4271621706151163,-5.120402160644531,0.40881339253457705,-5.833460582733155,0.4243840162006075,-5.833460582733155,0.4243840162006075,-5.120402160644531,0.40881339253457705
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,10-14,10.0,3.0013370066103775,500,500,8.191096268708389,2.1783253748377094,1.1972429235732136,1.7727855212153063,1.7727855212153063,2.6591782818229595,-5.553778427124024,0.28504543382029,-6.325565823554992,0.3464281272848634,-6.325565823554992,0.3464281272848634,-5.553778427124024,0.28504543382029
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,15-19,10.0,3.0013370066103775,500,500,7.618175623099876,1.9347153328793962,1.954340835920075,2.070865630251045,2.070865630251045,3.1062984453765674,-4.920666543483734,0.17998627587412488,-5.620376981735229,0.1852734620770776,-5.620376981735229,0.1852734620770776,-4.920666543483734,0.17998627587412488
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,20-24,10.0,3.0013370066103775,500,500,6.602947881573854,1.5143950628749623,1.6072783613720558,1.5037543584130453,1.6072783613720558,2.4109175420580837,-4.894220618724823,0.2497196059035723,-5.607485427856445,0.24154511473801668,-5.607485427856445,0.24154511473801668,-4.894220618724823,0.2497196059035723
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,5-9,17.85,7.495752416995524,500,500,13.321013447124159,4.760261128880907,1.1340961202442887,1.352197549841043,1.352197549841043,2.0282963247615644,-5.0872611079216,0.31589467877849986,-5.823571608543396,0.3449001826823674,-5.823571608543396,0.3449001826823674,-5.0872611079216,0.31589467877849986
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,10-14,17.85,7.495752416995524,500,500,14.141414449278557,5.224748000417786,1.8391894378406268,2.8120197407265217,2.8120197407265217,4.218029611089783,-5.534203060150147,0.18692971888163443,-6.318126748085022,0.2307110275322522,-6.318126748085022,0.2307110275322522,-5.534203060150147,0.18692971888163443
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,15-19,17.85,7.495752416995524,500,500,14.350765263517527,5.348145097915003,3.4630576752858286,3.6873550101545836,3.6873550101545836,5.531032515231876,-4.886698947906494,0.10476675433880454,-5.598614284515381,0.10810560684863578,-5.598614284515381,0.10810560684863578,-4.886698947906494,0.10476675433880454
exp_data/dataset_size/1000samples,cifar10_half_cnn,1.5,20-24,17.85,7.495752416995524,500,500,12.822977871209295,4.482973411815065,2.676929971501568,2.836406345327374,2.836406345327374,4.254609517991061,-4.8552228808403015,0.14286150879697057,-5.584808609008789,0.14705466262803477,-5.584808609008789,0.14705466262803477,-4.8552228808403015,0.14286150879697057
