group_root,dataset,alpha,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/dataset_size/100samples,mnist_half_cnn,5.0,2.0,0.6288852386317756,500,500,750,400,0.0001,1.0,1.736608116610564,0.5498750092917367,3.521831512451172,nan,3.521831512451172,17.60915756225586,1.0054187595019135,0.9624142449864684,1.0054187595019135,5.0270937975095675,-2.504198332309723,0.0811988279850872,-2.6827019882202148,0.08080544632310134,-2.6827019882202148,0.08080544632310134,-2.504198332309723,0.0811988279850872
exp_data/dataset_size/100samples,mnist_half_cnn,5.0,4.38,2.5027847590050074,500,500,750,400,0.0001,1.0,4.412884916231635,2.6309320518754005,1.7697944641113281,0.49687862396240234,1.7697944641113281,8.84897232055664,3.068824474246165,3.1470927238718263,3.1470927238718263,15.73546361935913,-2.492007464885712,0.02051249149915902,-2.651796037197113,0.020569968591426624,-2.651796037197113,0.020569968591426624,-2.492007464885712,0.02051249149915902
exp_data/dataset_size/100samples,mnist_half_cnn,5.0,6.57,4.996203066234097,500,500,750,400,0.0001,1.0,5.065163587587529,3.2455489943433675,1.0498085021972656,nan,1.0498085021972656,5.249042510986328,2.1730742954020426,26.556496130845897,26.556496130845897,132.7824806542295,-2.4963326325416566,0.010716924269906433,-2.633354787826538,0.012952116182931697,-2.633354787826538,0.012952116182931697,-2.4963326325416566,0.010716924269906433
exp_data/dataset_size/100samples,mnist_half_cnn,5.0,10.0,10.004456688701257,500,500,750,400,0.0001,1.0,7.689468723790577,6.529269072294525,1.1283378601074219,nan,1.1283378601074219,5.641689300537109,4.314673701614609,29.259850423180893,29.259850423180893,146.29925211590447,-2.4926057057380677,0.005968888384774305,-2.6321549520492553,0.007044048682642487,-2.6321549520492553,0.007044048682642487,-2.4926057057380677,0.005968888384774305
exp_data/dataset_size/100samples,mnist_half_cnn,5.0,17.85,24.98584138998508,500,500,750,400,0.0001,1.0,14.327959198202441,17.834170687743647,1.1140155792236328,nan,1.1140155792236328,5.570077896118164,9.248315907072692,48.656471062469535,48.656471062469535,243.28235531234768,-2.4925176157951356,0.0029364033030312136,-2.632909781455994,0.0034170289841344596,-2.632909781455994,0.0034170289841344596,-2.4925176157951356,0.0029364033030312136
