delta,alpha,estimated_renyi,last_epoch_estimate,theoretical_renyi,abs_error,best_epoch
0.5,2.0,0.06585907936096191,-0.0867164134979248,0.25,0.18414092063903809,442
0.5,5.0,-0.26069438457489014,-0.5752100944519043,0.625,0.8856943845748901,240
0.5,10.0,-0.19737398624420166,,1.25,1.4473739862442017,276
2.0,2.0,1.1013684272766113,1.1013684272766113,4.0,2.8986315727233887,1000
2.0,5.0,1.456082820892334,1.456082820892334,10.0,8.543917179107666,1000
2.0,10.0,0.8531277179718018,,20.0,19.1468722820282,694
5.0,2.0,3.1680777072906494,3.1680777072906494,25.0,21.83192229270935,1000
5.0,5.0,2.9509541988372803,2.9509541988372803,62.5,59.54904580116272,1000
5.0,10.0,3.7129664421081543,,125.0,121.28703355789185,976
