group_root,dataset,alpha,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/max_grad_norm/10.0,mnist_half_cnn,3.0,2.0,0.37733114317906535,500,500,750,400,0.0001,1.0,0.06123401357307874,0.002320027762541155,-0.0676729679107666,0.013945698738098145,0.013945698738098145,0.041837096214294434,0.06920641770250266,0.3203666586872599,0.3203666586872599,0.9610999760617797,-7.682488146036745,20.68035485411657,-8.481969425393268,28.04640941376684,-8.481969425393268,28.04640941376684,-7.682488146036745,20.68035485411657
exp_data/max_grad_norm/10.0,mnist_half_cnn,3.0,4.38,1.5016708554030043,500,500,750,400,0.0001,1.0,0.36780626815832124,0.03747060019751759,nan,0.019826650619506836,0.019826650619506836,0.05947995185852051,0.08087529762312945,0.14761475984879086,0.14761475984879086,0.44284427954637257,-8.063831634351853,22.094409819114013,-9.273697199951858,24.9352062988689,-9.273697199951858,24.9352062988689,-8.063831634351853,22.094409819114013
exp_data/max_grad_norm/10.0,mnist_half_cnn,3.0,6.57,2.9977218397404584,500,500,750,400,0.0001,1.0,0.9642014997699349,0.15073092068673938,-0.03433960676193237,nan,-0.03433960676193237,0.0,0.21772271298994414,inf,0.21772271298994414,0.6531681389698324,-7.6287301928400995,13.327550124597296,-9.355915093049408,21.794102073184543,-9.355915093049408,21.794102073184543,-7.6287301928400995,13.327550124597296
exp_data/max_grad_norm/10.0,mnist_half_cnn,3.0,10.0,6.002674013220755,500,500,750,400,0.0001,1.0,1.0147047259954542,0.11936245562772481,0.024522781372070312,0.09730327129364014,0.09730327129364014,0.2919098138809204,0.23473865721238407,0.2214951878453558,0.23473865721238407,0.7042159716371522,-7.627101748496294,13.923954563188978,-9.077134372710105,13.763191354761183,-9.077134372710105,13.763191354761183,-7.627101748496294,13.923954563188978
exp_data/max_grad_norm/10.0,mnist_half_cnn,3.0,17.85,14.991504833991048,500,500,750,400,0.0001,1.0,1.337145127179896,0.20236922091093817,0.11227917671203613,0.13648968935012817,0.13648968935012817,0.4094690680503845,0.3426280680888019,0.6626556067245143,0.6626556067245143,1.987966820173543,-7.60889304059837,10.027074517404163,-9.379945153206586,11.403191265809669,-9.379945153206586,11.403191265809669,-7.60889304059837,10.027074517404163
