group_root,dataset,alpha,seed_block,dp_eps,theoretical_rdp_eps,losses_in_count,losses_out_count,dv_epochs,dv_batch_size,dv_lr,dv_ema_rate,nearly_tight_dp_mean,nearly_tight_rdp_mean,dv_qp_raw,dv_pq_raw,dv_selected_raw,dv_scaled_alpha,closed_qp_raw,closed_pq_raw,closed_selected_raw,closed_scaled_alpha,closed_qp_mu0,closed_qp_var0,closed_qp_mu1,closed_qp_var1,closed_pq_mu0,closed_pq_var0,closed_pq_mu1,closed_pq_var1
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,15-19,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,0.8011947193599361,0.06735580969344014,0.1586233377456665,nan,0.1586233377456665,0.317246675491333,0.19829299977697334,1.0046513557923629,1.0046513557923629,2.0093027115847257,-7.408152523482786,16.461769025879438,-9.489895632714033,27.049250355836907,-9.489895632714033,27.049250355836907,-7.408152523482786,16.461769025879438
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,20-24,6.57,1.998481226493639,500,500,750,400,0.0001,1.0,0.5830086659019145,0.03236205514634734,0.08393621444702148,-0.17926478385925293,0.08393621444702148,0.16787242889404297,0.10530826000014866,0.13415341794703,0.13415341794703,0.26830683589406,-7.775322876109392,17.64415598932114,-9.227642097744159,19.134623303603455,-9.227642097744159,19.134623303603455,-7.775322876109392,17.64415598932114
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,5-9,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,1.0147047259954542,0.07957497041848322,0.04704320430755615,0.08542728424072266,0.08542728424072266,0.1708545684814453,0.15464317071524827,0.14934864107955106,0.15464317071524827,0.30928634143049655,-7.627101748496294,13.923954563188978,-9.077134372710105,13.763191354761183,-9.077134372710105,13.763191354761183,-7.627101748496294,13.923954563188978
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,10-14,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,0.42879373984805047,0.02218031014650985,2.7742128372192383,0.06556367874145508,2.7742128372192383,5.548425674438477,0.0998066090594389,0.10421593361860068,0.10421593361860068,0.20843186723720136,-7.76693367616646,13.616778359090913,-8.948910620898008,13.814459622728416,-8.948910620898008,13.814459622728416,-7.76693367616646,13.616778359090913
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,15-19,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,0.8829057701118337,0.06854087810987755,0.19150185585021973,0.12857699394226074,0.19150185585021973,0.38300371170043945,0.1776095406608071,0.1733684535348053,0.1776095406608071,0.3552190813216142,-7.782346525512636,14.888750658435725,-9.395253279982935,14.769284417499692,-9.395253279982935,14.769284417499692,-7.782346525512636,14.888750658435725
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,20-24,10.0,4.001782675480503,500,500,750,400,0.0001,1.0,0.806291478690014,0.055414625047535325,0.48388099670410156,0.02553582191467285,0.48388099670410156,0.9677619934082031,0.1548127556580343,0.18067603873721513,0.18067603873721513,0.36135207747443027,-7.600972548949416,13.918797137154206,-9.138279032945633,14.655007751083522,-9.138279032945633,14.655007751083522,-7.600972548949416,13.918797137154206
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,5-9,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,1.337145127179896,0.13491281394062543,0.16670680046081543,0.15314388275146484,0.16670680046081543,0.33341360092163086,0.25278080982008844,0.3720827690523139,0.3720827690523139,0.7441655381046278,-7.60889304059837,10.027074517404163,-9.379945153206586,11.403191265809669,-9.379945153206586,11.403191265809669,-7.60889304059837,10.027074517404163
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,10-14,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,0.8822129139354182,0.09272021175821028,33.90576171875,-0.082672119140625,33.90576171875,67.8115234375,0.09638665041421758,0.11286704933942522,0.11286704933942522,0.22573409867885044,-8.111383887514473,11.244921926120622,-9.199871735095979,11.854035487463218,-9.199871735095979,11.854035487463218,-8.111383887514473,11.244921926120622
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,15-19,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,1.1807429903478184,0.11864753176219889,0.24715697765350342,nan,0.24715697765350342,0.49431395530700684,0.26693667954604655,0.7741274772954452,0.7741274772954452,1.5482549545908904,-7.652841529898345,9.41207012716938,-9.605295188321033,13.246084289905383,-9.605295188321033,13.246084289905383,-7.652841529898345,9.41207012716938
exp_data/max_grad_norm/10.0,mnist_half_cnn,2.0,20-24,17.85,9.994336555994032,500,500,750,400,0.0001,1.0,0.5128111458644851,0.03121288332551836,-0.058789968490600586,nan,-0.058789968490600586,0.0,0.13966246373980706,0.2212634577017527,0.2212634577017527,0.4425269154035054,-7.84100116866827,9.554530552632665,-9.124861008614301,11.150601795360311,-9.124861008614301,11.150601795360311,-7.84100116866827,9.554530552632665
